tiempo_s,temperatura_C
0.00,23.75
0.50,23.75
1.00,24.00
1.50,23.75
2.00,23.75
2.50,23.75
3.00,24.00
3.50,24.00
4.00,24.00
4.50,24.00
5.00,24.00
5.50,23.75
6.00,24.00
6.50,24.25
7.00,23.50
7.50,24.25
8.00,24.00
8.50,24.00
9.00,24.00
9.50,24.00
10.00,24.00
10.50,23.50
11.00,24.00
11.50,23.75
12.00,23.50
12.50,23.75
13.00,23.75
13.50,24.00
14.00,24.00
14.50,24.00
15.00,24.00
15.50,23.75
16.00,23.50
16.50,24.00
17.00,24.00
17.50,24.00
18.00,23.50
18.50,23.75
19.00,24.00
19.50,24.00
20.00,24.00
20.50,24.00
21.00,23.50
21.50,24.00
22.00,23.50
22.50,23.50
23.00,24.00
23.50,23.25
24.00,24.00
24.50,23.50
25.00,24.25
25.50,23.75
26.00,23.75
26.50,23.75
27.00,23.50
27.50,24.00
28.00,23.50
28.50,23.50
29.00,24.00
29.50,23.25
30.00,24.00
30.50,24.25
31.00,24.00
31.50,23.50
32.00,23.50
32.50,24.00
33.00,24.00
33.50,23.50
34.00,23.50
34.50,23.75
35.00,24.00
35.50,23.75
36.00,23.75
36.50,24.00
37.00,23.75
37.50,24.00
38.00,24.00
38.50,23.50
39.00,23.50
39.50,23.75
40.00,23.50
40.50,24.00
41.00,23.50
41.50,24.25
42.00,23.50
42.50,23.75
43.00,23.75
43.50,24.00
44.00,24.00
44.50,24.00
45.00,23.75
45.50,23.75
46.00,24.00
46.50,23.50
47.00,23.50
47.50,23.50
48.00,23.75
48.50,23.75
49.00,23.75
49.50,24.00
50.00,23.50
50.50,24.00
51.00,23.75
51.50,23.75
52.00,23.50
52.50,23.50
53.00,24.00
53.50,23.75
54.00,24.00
54.50,23.50
55.00,23.75
55.50,24.00
56.00,23.50
56.50,23.75
57.00,24.00
57.50,24.00
58.00,23.75
58.50,24.00
59.00,23.50
59.50,24.00
60.00,23.75
60.50,23.25
61.00,23.50
61.50,23.50
62.00,24.00
62.50,24.00
63.00,23.75
63.50,24.00
64.00,24.00
64.50,23.50
65.00,23.75
65.50,23.50
66.00,24.00
66.50,23.75
67.00,23.75
67.50,24.00
68.00,23.75
68.50,23.25
69.00,24.00
69.50,24.00
70.00,23.75
70.50,23.50
71.00,23.75
71.50,24.00
72.00,24.00
72.50,24.00
73.00,24.00
73.50,23.50
74.00,24.00
74.50,23.75
75.00,23.50
75.50,24.00
76.00,24.00
76.50,23.25
77.00,23.75
77.50,24.00
78.00,24.00
78.50,23.75
79.00,23.25
79.50,23.75
80.00,23.75
80.50,23.50
81.00,23.25
81.50,23.50
82.00,24.00
82.50,23.50
83.00,24.00
83.50,23.75
84.00,24.00
84.50,23.50
85.00,23.75
85.50,23.50
86.00,23.25
86.50,24.00
87.00,24.00
87.50,23.75
88.00,23.75
88.50,24.00
89.00,24.00
89.50,24.00
90.00,24.25
90.50,23.75
91.00,24.00
91.50,23.75
92.00,23.75
92.50,24.00
93.00,24.00
93.50,24.00
94.00,24.00
94.50,24.00
95.00,24.00
95.50,24.00
96.00,23.50
96.50,24.00
97.00,24.00
97.50,23.50
98.00,23.75
98.50,23.50
99.00,23.25
99.50,23.50
100.00,23.50
100.50,24.00
101.00,23.75
101.50,23.75
102.00,23.75
102.50,23.50
103.00,24.00
103.50,23.25
104.00,23.25
104.50,23.25
105.00,23.75
105.50,23.50
106.00,23.75
106.50,23.50
107.00,23.50
107.50,23.50
108.00,23.50
108.50,23.25
109.00,23.50
109.50,23.25
110.00,23.75
110.50,23.50
111.00,23.00
111.50,23.75
112.00,23.25
112.50,23.75
113.00,23.75
113.50,23.75
114.00,23.75
114.50,24.00
115.00,23.75
115.50,24.00
116.00,23.50
116.50,23.75
117.00,23.50
117.50,23.50
118.00,23.50
118.50,23.75
119.00,23.25
119.50,23.25
120.00,23.75
120.50,23.50
121.00,23.75
121.50,23.75
122.00,23.50
122.50,24.00
123.00,24.00
123.50,23.75
124.00,24.00
124.50,23.50
125.00,23.75
125.50,24.00
126.00,24.00
126.50,24.00
127.00,23.75
127.50,23.50
128.00,23.25
128.50,23.50
129.00,24.00
129.50,23.50
130.00,23.25
130.50,23.75
131.00,24.00
131.50,23.25
132.00,23.75
132.50,23.50
133.00,23.25
133.50,23.25
134.00,23.50
134.50,23.50
135.00,23.50
135.50,23.25
136.00,23.50
136.50,23.25
137.00,23.75
137.50,23.50
138.00,23.75
138.50,23.25
139.00,23.75
139.50,23.50
140.00,23.75
140.50,23.50
141.00,23.75
141.50,23.75
142.00,23.50
142.50,23.50
143.00,24.00
143.50,23.75
144.00,23.50
144.50,23.50
145.00,23.75
145.50,23.50
146.00,23.75
146.50,23.75
147.00,23.25
147.50,23.50
148.00,23.50
148.50,23.75
149.00,24.00
149.50,23.25
150.00,23.50
150.50,23.50
151.00,23.25
151.50,23.00
152.00,23.50
152.50,23.50
153.00,23.50
153.50,23.50
154.00,23.50
154.50,23.50
155.00,23.25
155.50,23.50
156.00,23.25
156.50,23.50
157.00,23.25
157.50,23.75
158.00,23.50
158.50,23.75
159.00,23.50
159.50,23.50
160.00,23.75
160.50,23.25
161.00,23.75
161.50,23.25
162.00,23.75
162.50,23.00
163.00,23.75
163.50,23.75
164.00,23.75
164.50,23.00
165.00,23.25
165.50,24.00
166.00,23.75
166.50,23.75
167.00,23.50
167.50,23.75
168.00,23.50
168.50,23.50
169.00,23.75
169.50,23.50
170.00,23.75
170.50,23.50
